date_id,year,month,day,day_of_week
2024-03-01,2024,3,1,Friday
2024-03-02,2024,3,2,Saturday
2024-03-03,2024,3,3,Sunday
2024-03-04,2024,3,4,Monday
2024-03-05,2024,3,5,Tuesday
2024-03-06,2024,3,6,Wednesday
2024-03-07,2024,3,7,Thursday
2024-03-08,2024,3,8,Friday
2024-03-09,2024,3,9,Saturday
2024-03-10,2024,3,10,Sunday
2024-03-11,2024,3,11,Monday
2024-03-12,2024,3,12,Tuesday
2024-03-13,2024,3,13,Wednesday
2024-03-14,2024,3,14,Thursday
2024-03-15,2024,3,15,Friday
2024-03-16,2024,3,16,Saturday
2024-03-17,2024,3,17,Sunday
2024-03-18,2024,3,18,Monday
2024-03-19,2024,3,19,Tuesday
2024-03-20,2024,3,20,Wednesday
2024-03-21,2024,3,21,Thursday
2024-03-22,2024,3,22,Friday
2024-03-23,2024,3,23,Saturday
2024-03-24,2024,3,24,Sunday
2024-03-25,2024,3,25,Monday
2024-03-26,2024,3,26,Tuesday
2024-03-27,2024,3,27,Wednesday
2024-03-28,2024,3,28,Thursday
2024-03-29,2024,3,29,Friday
2024-03-30,2024,3,30,Saturday
2024-03-31,2024,3,31,Sunday
2024-04-01,2024,4,1,Monday
2024-04-02,2024,4,2,Tuesday
2024-04-03,2024,4,3,Wednesday
2024-04-04,2024,4,4,Thursday
2024-04-05,2024,4,5,Friday
2024-04-06,2024,4,6,Saturday
2024-04-07,2024,4,7,Sunday
2024-04-08,2024,4,8,Monday
2024-04-09,2024,4,9,Tuesday
2024-04-10,2024,4,10,Wednesday
2024-04-11,2024,4,11,Thursday
2024-04-12,2024,4,12,Friday
2024-04-13,2024,4,13,Saturday
2024-04-14,2024,4,14,Sunday
2024-04-15,2024,4,15,Monday
2024-04-16,2024,4,16,Tuesday
2024-04-17,2024,4,17,Wednesday
2024-04-18,2024,4,18,Thursday
2024-04-19,2024,4,19,Friday
2024-04-20,2024,4,20,Saturday
2024-04-21,2024,4,21,Sunday
2024-04-22,2024,4,22,Monday
2024-04-23,2024,4,23,Tuesday
2024-04-24,2024,4,24,Wednesday
