order_id,date_id,time_id,payment_method_id,customer_id,coffee_id,amount
1,2024-03-01,10:15:50,1,1,1,15204
2,2024-03-01,12:19:22,1,2,2,15204
3,2024-03-01,12:20:18,1,2,2,15204
4,2024-03-01,13:46:33,1,3,3,11353
5,2024-03-01,13:48:14,1,4,1,15204
6,2024-03-01,15:39:47,1,5,4,13279
7,2024-03-01,16:19:02,1,6,2,15204
8,2024-03-01,18:39:03,1,7,4,13279
9,2024-03-01,19:22:01,1,8,5,15204
10,2024-03-01,19:23:15,1,8,4,13279
11,2024-03-01,19:29:17,1,9,4,13279
12,2024-03-02,10:22:06,1,10,3,11353
13,2024-03-02,10:30:35,2,11,1,15714
14,2024-03-02,10:41:41,1,12,4,13279
15,2024-03-02,11:59:45,1,13,4,13279
16,2024-03-02,14:38:35,1,14,3,11353
17,2024-03-02,16:37:24,1,15,4,13279
18,2024-03-02,17:34:54,1,4,3,11353
19,2024-03-03,10:10:43,2,11,1,15714
20,2024-03-03,10:27:18,1,16,1,15204
21,2024-03-03,11:33:56,1,17,6,11353
22,2024-03-03,12:26:56,1,13,3,11353
23,2024-03-03,13:09:36,1,18,2,15204
24,2024-03-03,17:06:40,1,19,5,15204
25,2024-03-03,17:08:45,1,20,6,11353
26,2024-03-03,18:03:23,1,21,4,13279
27,2024-03-03,18:04:27,1,21,4,13279
28,2024-03-03,18:08:04,1,21,2,15204
29,2024-03-04,10:03:51,1,1,1,15204
30,2024-03-04,10:54:50,1,22,1,15204
31,2024-03-04,11:05:16,1,13,4,13279
32,2024-03-04,14:04:37,1,23,7,9428
33,2024-03-05,09:59:52,1,1,1,15204
34,2024-03-05,14:34:55,1,24,1,15204
35,2024-03-05,17:34:06,1,25,1,15204
36,2024-03-05,17:35:25,1,26,2,15204
37,2024-03-05,17:36:28,1,27,5,15204
38,2024-03-05,17:37:13,1,28,2,15204
39,2024-03-05,17:38:09,1,9,2,15204
40,2024-03-05,17:56:15,1,29,6,11353
41,2024-03-05,18:01:31,1,29,2,15204
42,2024-03-06,12:30:27,2,11,4,13750
43,2024-03-06,13:24:07,1,13,3,11353
44,2024-03-06,13:25:14,1,13,6,11353
45,2024-03-06,14:52:01,1,30,8,15204
46,2024-03-06,14:53:18,1,30,8,15204
47,2024-03-07,10:08:58,2,11,1,15714
48,2024-03-07,10:18:40,1,31,2,15204
49,2024-03-07,11:03:58,1,32,1,15204
50,2024-03-07,11:25:43,2,11,1,15714
51,2024-03-07,15:40:22,1,33,3,11353
52,2024-03-07,15:41:28,1,34,4,13279
53,2024-03-08,10:34:41,1,13,6,11353
54,2024-03-08,12:22:28,1,35,8,15204
55,2024-03-08,13:53:02,1,36,3,11353
56,2024-03-08,14:44:12,1,13,3,11353
57,2024-03-08,14:45:11,1,34,3,11353
58,2024-03-08,14:46:11,1,13,4,13279
59,2024-03-08,18:57:51,1,37,1,15204
60,2024-03-08,18:59:24,1,38,1,15204
61,2024-03-09,11:49:37,2,11,2,15714
62,2024-03-09,12:05:15,1,39,7,9428
63,2024-03-09,12:07:38,1,40,3,11353
64,2024-03-09,12:09:47,1,13,8,15204
65,2024-03-09,12:13:03,1,41,3,11353
66,2024-03-09,12:14:26,1,41,3,11353
67,2024-03-09,13:09:22,1,42,1,15204
68,2024-03-09,13:41:06,1,43,4,13279
69,2024-03-09,13:53:10,1,44,6,11353
70,2024-03-09,13:54:36,1,44,8,15204
71,2024-03-09,14:08:01,1,9,4,13279
72,2024-03-09,14:26:52,1,45,2,15204
73,2024-03-09,19:17:57,1,9,8,15204
74,2024-03-09,19:19:10,1,9,2,15204
75,2024-03-10,07:44:18,2,11,3,11786
